mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04689154624938965,9.482199139463938e-05,0.009416007995605468,0.007688237163724356,8,5,"{'max_depth': 8, 'min_samples_leaf': 5}",-393.76303446615026,-402.1142974843489,-397.65645476044824,-384.3143086131855,-396.2045035228645,-394.8105197693995,5.910251765939348,73,-378.9804736601678,-374.41633964240333,-379.2632084330525,-380.8009292604339,-378.5177173172418,-378.39573366265984,2.132128325685096
0.05312328338623047,0.007649636465347886,0.0031266212463378906,0.006253242492675781,8,10,"{'max_depth': 8, 'min_samples_leaf': 10}",-394.5073551079679,-403.50459388863453,-396.2180115987245,-385.45447967439407,-395.5768129589187,-395.05225064572795,5.7530928948020685,74,-379.45681399966105,-376.48770191050056,-380.5158478866575,-382.0691844501059,-379.58110870438236,-379.6221313902615,1.8243058251077555
0.046849966049194336,3.0729925949322286e-05,0.0031288623809814452,0.0062577247619628905,8,20,"{'max_depth': 8, 'min_samples_leaf': 20}",-396.27819459732,-406.83486171617153,-398.0813567489982,-386.1698438802274,-396.56977600156057,-396.7868065888555,6.5675712032510525,76,-382.2883111392717,-380.0319249406357,-383.9699754543235,-385.9016341220586,-383.3057605394599,-383.09952123914985,1.9349558483371867
0.040643310546875,0.007675162474092502,0.0031250953674316407,0.006250190734863282,8,35,"{'max_depth': 8, 'min_samples_leaf': 35}",-403.8401108900067,-414.2180562823936,-408.5243157272237,-391.727699590892,-408.92688693896616,-405.4474138858964,7.6067366060956925,77,-390.44932936755214,-389.80958757871815,-391.19384894731553,-395.753800268278,-395.4640270201691,-392.53411863640656,2.5501549587108534
0.037540864944458005,0.007614057856196756,0.003125429153442383,0.006250858306884766,8,50,"{'max_depth': 8, 'min_samples_leaf': 50}",-412.2114338437693,-429.8581487995476,-418.33129230827416,-401.5620968702997,-415.3892555655435,-415.4704454774868,9.157077711611025,78,-401.10121442379034,-408.8496305025522,-401.31901296445346,-407.21713289765995,-403.53375520337494,-404.4041491983662,3.126026574800036
0.04689235687255859,3.8223606858100064e-05,0.0,0.0,8,100,"{'max_depth': 8, 'min_samples_leaf': 100}",-451.3248589627074,-460.3951175444475,-458.35983538793135,-436.71991030867036,-459.75311454515486,-453.3105673497823,8.90376675795928,97,-436.3218530771333,-436.14509252719563,-446.4144281068694,-452.55798535847936,-445.0355303117559,-443.2949778762867,6.29776357299276
0.05937209129333496,0.006201889276747948,0.0031308650970458983,0.006261730194091796,9,1,"{'max_depth': 9, 'min_samples_leaf': 1}",-359.6037827899479,-368.3409850406906,-363.6040673571473,-353.6399781172642,-366.0853884303377,-362.2548403470775,5.191890345227694,54,-334.4007804563069,-333.08395261533315,-333.78643713091583,-335.3032756590452,-333.30235357307055,-333.9753598869343,0.8034400025853452
0.0531275749206543,0.0076929451382023424,0.0062675952911376955,0.0076762589355095145,9,5,"{'max_depth': 9, 'min_samples_leaf': 5}",-360.29703237240227,-367.5373096255906,-364.43113586277656,-353.0591051732021,-366.15921856067655,-362.2967603189296,5.220549475265296,55,-338.20632767825373,-335.7868236081066,-336.8368702448014,-339.4088488052638,-337.1414439544603,-337.47606285817716,1.2363668125920246
0.05001225471496582,0.006241002229848825,0.0031224727630615235,0.006244945526123047,9,10,"{'max_depth': 9, 'min_samples_leaf': 10}",-363.4664084756626,-369.39240808111,-367.7686540009399,-353.8335009857434,-366.76169340106355,-364.24453298890387,5.554299389516415,57,-341.3327560353953,-340.1807449901478,-342.1066933609275,-342.8371610178308,-341.2239454009884,-341.53626016105795,0.8937687499294669
0.05084047317504883,0.006061141458520531,0.0,0.0,9,20,"{'max_depth': 9, 'min_samples_leaf': 20}",-367.18502736711287,-378.01315960621304,-369.21584767014514,-355.91028757962346,-364.90551204370087,-367.04596685335906,7.121684311221441,58,-349.5765266446994,-349.07846655769225,-349.27471827474693,-351.54787725974097,-347.6047540500093,-349.4164685573778,1.263738074005313
